Chart: 12300, Current Edition: 49, Print Date: Jun. /2012, Approaches to New York, Nantucket Shoals to Five Fathom Bank
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
12300	Change	BLOCK ISLAND WIND FARM WTG-3	Q Y "WTG-3" HORN (MRASS) Priv	N 41 06' 52.960"	W 071 31' 16.180"	41.11471	-71.52116	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	BLOCK ISLAND WIND FARM WTG-3	Q Y "WTG-3" HORN (MRASS) Priv	N 41 06' 52.960"	W 071 31' 16.180"	41.11471	-71.52116	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Change	BLOCK ISLAND WIND FARM WTG-4	Q Y "WTG-4" Priv	N 41 06' 36.540"	W 071 31' 44.620"	41.11015	-71.52906	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	BLOCK ISLAND WIND FARM WTG-4	Q Y "WTG-4" Priv	N 41 06' 36.540"	W 071 31' 44.620"	41.11015	-71.52906	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Change	BLOCK ISLAND WIND FARM WTG-5	Q Y "WTG-5" Priv	N 41 06' 22.790"	W 071 32' 15.500"	41.10633	-71.53764	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	BLOCK ISLAND WIND FARM WTG-5	Q Y "WTG-5" Priv	N 41 06' 22.790"	W 071 32' 15.500"	41.10633	-71.53764	LNM 49/15, 1st Dist	666	12300_1	12/17/2015
12300	Relocate	NOAA Lighted Data Buoy 44066 (ODAS)	Y ODAS "44066" Fl (4) Y 20s PA	N 39 34' 05.000"	W 072 35' 06.000"	39.56805	-72.585	LNM 47/15, 5th Dist	666	12300_1	12/3/2015
12300	Relocate	GAY HEAD LIGHT	Al WR 15s 175ft 20M	N 41 20' 54.420"	W 070 50' 03.676"	41.34845	-70.83436	LNM 46/15, 1st Dist	666	12300_1	11/26/2015
12300	Delete	Garden State Offshore Energy Lighted Data Buoy GS	Y "GS" Fl Y 2s RACON G (--.) Priv	N 39 04' 36.000"	W 074 18' 36.000"	39.07667	-74.31	LNM 43/15, 5th Dist	666	12300_1	10/29/2015
12300	Relocate	MORICHES INLET APPROACH LTD WHISTLE BUOY M	RW "M" Mo (A) WHIS AIS	N 40 44' 07.858"	W 072 45' 11.860"	40.73552	-72.7533	LNM 41/15, 1st Dist	666	12300_1	10/22/2015
12300	Change	MORICHES INLET APPROACH LTD WHISTLE BUOY M	RW "M" Mo (A) WHIS AIS	N 40 44' 07.858"	W 072 45' 11.860"	40.73552	-72.7533	LNM 41/15, 1st Dist	666	12300_1	10/22/2015
12300	Change	NARRAGANSETT BAY ENT LTD WHISTLE BUOY NB	RW "NB" Mo (A) WHIS RACON (-...) AIS	N 41 23' 00.000"	W 071 23' 21.470"	41.38334	-71.3893	LNM 41/15, 1st Dist	666	12300_1	10/22/2015
12300	Change	SHINNECOCK INLET APPROACH LTD WHISTLE BUOY SH	RW "SH" Mo (A) WHIS  AIS	N 40 49' 00.161"	W 072 28' 34.519"	40.81671	-72.47626	LNM 41/15, 1st Dist	666	12300_1	10/22/2015
12300	Add	wind turbine	None	N 41 06' 36.720"	W 071 31' 44.820"	41.1102	-71.52911	LNM 41/15, 1st Dist	666	12300_1	10/8/2015
12300	Add	wind turbine	None	N 41 06' 53.160"	W 071 31' 16.080"	41.11477	-71.52113	LNM 41/15, 1st Dist	666	12300_1	10/8/2015
12300	Add	wind turbine	None	N 41 07' 11.760"	W 071 30' 50.220"	41.11993	-71.51395	LNM 41/15, 1st Dist	666	12300_1	10/8/2015
12300	Add	wind turbine	None	N 41 07' 32.640"	W 071 30' 27.240"	41.12573	-71.50757	LNM 41/15, 1st Dist	666	12300_1	10/8/2015
12300	Add	wind turbine	None	N 41 06' 22.980"	W 071 32' 15.540"	41.10638	-71.53765	LNM 41/15, 1st Dist	666	12300_1	10/8/2015
12300	Add	Sounding in Fathoms 	6	N 41 13' 02.300"	W 070 51' 27.400"	41.2173	-70.85761	LNM 40/15, 1st Dist	666	12300_1	10/1/2015
12300	Add	Sounding in Fathoms 	6	N 41 19' 23.100"	W 070 42' 28.200"	41.32308	-70.70783	LNM 40/15, 1st Dist	666	12300_1	10/1/2015
12300	Add	Sounding in Fathoms 	7	N 41 15' 32.600"	W 070 51' 44.400"	41.25906	-70.86234	LNM 40/15, 1st Dist	666	12300_1	10/1/2015
12300	Delete	Sounding in Fathoms 	8	N 41 12' 54.400"	W 070 51' 46.400"	41.21511	-70.86289	LNM 40/15, 1st Dist	666	12300_1	10/1/2015
12300	Delete	Sounding in Fathoms & Fractions	8 1/4	N 41 19' 41.000"	W 070 42' 25.000"	41.32806	-70.70695	LNM 40/15, 1st Dist	666	12300_1	10/1/2015
12300	Change	GAY HEAD LIGHT	Al WR 15s 175ft 20M	N 41 20' 53.993"	W 070 50' 04.240"	41.34833	-70.83451	LNM 37/15, 1st Dist	666	12300_1	9/24/2015
12300	Delete	Natural shoreline PT 1 OF 4	None	N 40 43' 08.690"	W 072 54' 18.490"	40.71908	-72.90514	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Delete	Natural shoreline PT 2 OF 4	None	N 40 43' 24.630"	W 072 53' 24.890"	40.72351	-72.89024	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Delete	Natural shoreline PT 3 OF 4	None	N 40 43' 30.580"	W 072 53' 56.160"	40.72516	-72.89893	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Delete	Natural shoreline PT 4 OF 4	None	N 40 43' 35.890"	W 072 53' 46.390"	40.72663	-72.89622	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Add	Natural shoreline PT 1 OF 4	None	N 40 43' 08.690"	W 072 54' 18.490"	40.71908	-72.90514	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Add	Natural shoreline PT 2 OF 4	None	N 40 43' 30.580"	W 072 53' 56.160"	40.72516	-72.89893	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Add	Natural shoreline PT 3 OF 4	None	N 40 43' 24.630"	W 072 53' 24.890"	40.72351	-72.89024	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Add	Natural shoreline PT 4 OF 4	None	N 40 43' 35.890"	W 072 53' 46.390"	40.72663	-72.89622	LNM 38/15, 1st Dist	666	12300_1	9/17/2015
12300	Relocate	GAY HEAD LIGHT	Al WR 15s 170ft 20M	N 41 20' 53.993"	W 070 50' 04.240"	41.34833	-70.83451	LNM 32/15, 1st Dist	666	12300_1	8/27/2015
12300	Relocate	WHOI LTD RESEARCH BUOY ISSP	Y "ISSP" Fl Y 4s Priv	N 40 21' 51.720"	W 070 53' 17.280"	40.36437	-70.88813	LNM 31/15, 1st Dist	666	12300_1	8/13/2015
12300	Add	WHOI LTD RESEARCH BUOY CNSP	Y "CNSP" Fl Y 4s Priv	N 40 08' 02.700"	W 070 46' 12.480"	40.13408	-70.77013	LNM 31/15, 1st Dist	666	12300_1	8/13/2015
12300	Add	USGS Research Lighted Buoy W	Y "W" FI Y 4s Priv	N 40 35' 04.210"	W 073 06' 24.220"	40.5845	-73.10673	LNM 29/15, 1st Dist	666	12300_1	8/6/2015
12300	Relocate	Little Egg Inlet Outer Lighted Whistle Buoy LE	RW "LE" Mo (A) WHIS	N 39 28' 12.390"	W 074 16' 08.941"	39.47011	-74.26915	LNM 30/15, 5th Dist	666	12300_1	8/6/2015
12300	Delete	NEW YORK BIGHT DUMPING GROUND LTD BUOY 3	G "3" Fl G 4s	N 40 22' 56.783"	W 073 49' 49.396"	40.38244	-73.83039	LNM 23/15, 1st Dist	666	12300_1	6/25/2015
12300	Change	FISHING GROUNDS OBSTRUCTION LB 5	G "5" Fl G 4s	N 40 25' 41.494"	W 073 50' 53.151"	40.42819	-73.8481	LNM 23/15, 1st Dist	666	12300_1	6/25/2015
12300	Change	SOUTHWEST LEDGE LTD WHISTLE BUOY 2	R "2" Fl R 2.5s WHIS	N 41 06' 22.649"	W 071 40' 14.042"	41.10629	-71.67057	LNM 22/15, 1st Dist	666	12300_1	6/18/2015
12300	Relocate	WHOI LTD RESEARCH BUOY ISSP	Y "ISSP" Fl Y 4s Priv	N 40 21' 52.560"	W 070 53' 19.380"	40.3646	-70.88872	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Relocate	WHOI LTD RESEARCH BUOY OSSM	Y "OSSM" Fl Y 4s Priv	N 39 56' 26.280"	W 070 52' 42.780"	39.94063	-70.87855	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Relocate	WHOI LTD RESEARCH BUOY ISSM	Y "ISSM" Fl Y 4s Priv	N 40 21' 33.780"	W 070 53' 07.080"	40.35938	-70.8853	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY CNSM	Y "CNSM" Fl Y 4s Priv	N 40 08' 24.780"	W 070 46' 16.620"	40.14022	-70.77129	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY OSPM	Y "OSPM" Fl Y 4s Priv	N 39 56' 34.920"	W 070 53' 07.320"	39.94304	-70.88537	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY PMCI	Y "PMCI" Fl Y 4s Priv	N 40 13' 36.120"	W 070 53' 19.740"	40.2267	-70.88882	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY PMCO	Y "PMCO" Fl Y 4s Priv	N 40 05' 48.060"	W 070 52' 45.840"	40.09668	-70.8794	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY PMUI	Y "PMUI" Fl Y 4s Priv	N 40 21' 55.500"	W 070 46' 59.460"	40.36542	-70.78318	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Add	WHOI LTD RESEARCH BUOY PMUO	Y "PMUO" Fl Y 4s Priv	N 39 56' 29.820"	W 070 46' 51.060"	39.94162	-70.78085	LNM 21/15, 1st Dist	666	12300_1	6/4/2015
12300	Change	Manasquan Inlet Light 3	Fl G 6s 35ft 8M "3" HORN (MRASS)	N 40 06' 01.374"	W 074 01' 54.240"	40.10038	-74.03173	LNM 17/15, 5th Dist	666	12300_1	5/7/2015
12300	Relocate	Manasquan Inlet Light 3	Fl G 6s 35ft 8M "3" HORN (MRASS)	N 40 06' 01.374"	W 074 01' 54.240"	40.10038	-74.03173	LNM 17/15, 5th Dist	666	12300_1	5/7/2015
12300	Add	Precautionary Area PT 1 OF 2	None	N 41 29' 09.150"	W 071 23' 09.670"	41.48587	-71.38602	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 2 OF 2	None	N 41 29' 07.750"	W 071 22' 44.640"	41.48549	-71.37907	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 1 OF 3	None	N 41 28' 53.010"	W 071 21' 30.190"	41.48139	-71.35838	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 2 OF 3	None	N 41 28' 44.110"	W 071 21' 05.050"	41.47892	-71.3514	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 3 OF 3	None	N 41 28' 32.570"	W 071 20' 39.050"	41.47572	-71.34418	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 1 OF 3	None	N 41 24' 10.460"	W 071 27' 37.450"	41.4029	-71.4604	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 2 OF 3	None	N 41 23' 19.670"	W 071 26' 56.630"	41.3888	-71.44907	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 3 OF 3	None	N 41 22' 42.300"	W 071 26' 02.470"	41.37842	-71.43402	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 1 OF 3	None	N 41 28' 53.530"	W 071 25' 04.760"	41.48154	-71.41799	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 2 OF 3	None	N 41 29' 01.890"	W 071 24' 30.740"	41.48386	-71.40854	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Add	Precautionary Area PT 3 OF 3	None	N 41 29' 07.680"	W 071 23' 51.930"	41.48547	-71.39776	LNM 18/15, 1st Dist	666	12300_1	4/30/2015
12300	Delete	Obstruction in Fathoms with Basket	10 Obstn       Chart No. 1: K42	N 38 49' 10.020"	W 074 31' 15.850"	38.81945	-74.52107	LNM 17/15, 5th Dist	666	12300_1	4/30/2015
12300	Add	WHOI RESEARCH LTD BUOY DMON	Y "DMON" Fl Y 4s Priv	N 41 08' 49.000"	W 070 56' 41.000"	41.14695	-70.94473	LNM 13/15, 1st Dist	666	12300_1	4/9/2015
12300	Add	BLOCK ISLAND BKW LIGHT 3	F G 27ft 11M "3" HORN (MRASS)	N 41 10' 38.492"	W 071 33' 14.538"	41.17736	-71.55404	LNM 10/15, 1st Dist	666	12300_1	4/2/2015
12300	Change	CASTLE HILL LIGHT	Iso R 6s 40ft 12M HORN (MRASS)	N 41 27' 43.800"	W 071 21' 46.500"	41.46217	-71.36292	LNM 10/15, 1st Dist	666	12300_1	4/2/2015
12300	Add	MRASS NOTE	 CELL RASS01	N 41 24' 30.000"	W 071 39' 35.000"	41.40833	-71.65972	LNM 08/15, 1st Dist	666	12300_1	3/5/2015
12300	Change	BUZZARDS BAY ENTRANCE LIGHT	Fl 2.5s 67ft 14M HORN RACON (-...) (MRASS)	N 41 23' 49.118"	W 071 02' 04.866"	41.39698	-71.03468	LNM 05/15, 1st Dist	666	12300_1	2/12/2015
12300	Change	AMBROSE CHANNEL LTD WHISTLE BUOY A	RW "A" Mo (A) WHIS RACON (-.) AIS	N 40 27' 27.991"	W 073 50' 12.228"	40.45778	-73.83673	LNM 50/14, 1st Dist	666	12300_1	1/8/2015
12300	Add	WHOI LTD RESEARCH BUOY ISSP	Y "ISSP" Fl Y 4s Priv	N 40 21' 53.160"	W 070 53' 17.880"	40.36477	-70.8883	LNM 50/14, 1st Dist	666	12300_1	1/8/2015
12300	Add	WHOI LTD RESEARCH BUOY OSSM	Y "OSSM" Fl Y 4s Priv	N 39 56' 09.480"	W 070 52' 43.320"	39.93597	-70.8787	LNM 50/14, 1st Dist	666	12300_1	1/8/2015
12300	Add	WHOI LTD RESEARCH BUOY ISSM	Y "ISSM" Fl Y 4s Priv	N 40 21' 42.840"	W 070 52' 40.920"	40.3619	-70.87804	LNM 50/14, 1st Dist	666	12300_1	1/8/2015
12300	Relocate	GAY HEAD LTD GONG BUOY 31	G "31" Fl G 4s GONG	N 41 21' 49.397"	W 070 51' 47.615"	41.36372	-70.86323	LNM 41/14, 1st Dist	666	12300_1	10/23/2014
12300	Relocate	Five Fathom Bank Northeast Lighted Bell Buoy 2FB	R "2FB" Fl R 4s BELL	N 38 58' 12.411"	W 074 31' 34.554"	38.97012	-74.52627	LNM 40/14, 5th Dist	666	12300_1	10/9/2014
12300	Add	Jones Inlet Light	Fl 2.5s 33ft 4M	N 40 34' 23.568"	W 073 34' 32.364"	40.57321	-73.57565	LNM 36/14, 1st Dist	666	12300_1	9/18/2014
12300	Delete	Obstruction with Sounding in Fathoms 	12 Obstn	N 39 13' 13.920"	W 074 17' 16.230"	39.22053	-74.28784	LNM 37/14, 5th Dist	666	12300_1	9/11/2014
12300	Add	Wreck with Sounding in Fathoms 	12 Wk	N 39 13' 13.920"	W 074 17' 16.230"	39.22053	-74.28784	LNM 37/14, 5th Dist	666	12300_1	9/11/2014
12300	Delete	Jones Inlet Light	Fl 2.5s 33ft 4M	N 40 34' 23.568"	W 073 34' 32.364"	40.57321	-73.57565	LNM 35/14, 1st Dist	666	12300_1	9/11/2014
12300	Change	Buzzards Bay Entrance Light	Fl 2.5s 67ft 14M HORN RACON (-...)	N 41 23' 49.118"	W 071 02' 04.866"	41.39698	-71.03468	LNM 32/14, 1st Dist	666	12300_1	9/4/2014
12300	Change	JONES INLET LIGHT	Fl 2.5s 33ft 4M	N 40 34' 23.568"	W 073 34' 32.364"	40.57321	-73.57565	LNM 31/14, 1st Dist	666	12300_1	8/28/2014
12300	Delete	Narragansett-Buzzards Bay Approach Lighted Whistle Buoy A Racon	RACON (- .)	N 41 06' 00.383"	W 071 23' 22.171"	41.10011	-71.38949	LNM 14/14, 1st Dist	666	12300_1	4/17/2014
12300	Delete	Narragansett-Buzzards Bay Approach Lighted Whistle Buoy A	RW "A" Mo (A) WHIS	N 41 06' 00.383"	W 071 23' 22.171"	41.10011	-71.38949	LNM 14/14, 1st Dist	666	12300_1	4/17/2014
12300	Delete	Non Dangerous Wreck	PA   (Chart No. 1: K29)	N 40 24' 16.000"	W 070 27' 12.000"	40.40445	-70.45333	LNM 08/14, 1st Dist	666	12300_1	3/6/2014
12300	Add	Non Dangerous Wreck	PA   (Chart No. 1: K29)	N 40 24' 16.000"	W 070 27' 12.000"	40.40445	-70.45333	LNM 07/14, 1st Dist	666	12300_1	2/27/2014
12300	Add	Obstruction in Fathoms	9 Obstn       Chart No. 1: K41	N 40 22' 04.429"	W 073 54' 45.230"	40.3679	-73.91257	LNM 07/14, 1st Dist	666	12300_1	2/13/2014
12300	Add	Obstruction in Fathoms	9 Obstn       Chart No. 1: K41	N 40 21' 40.075"	W 073 55' 17.990"	40.36113	-73.92166	LNM 07/14, 1st Dist	666	12300_1	2/13/2014
12300	Delete	Block Island Breakwater Light 3	F G 27ft 11M "3" HORN	N 41 10' 38.492"	W 071 33' 14.538"	41.17736	-71.55404	LNM 05/14, 1st Dist	666	12300_1	2/13/2014
12300	Add	Sounding in Fathoms & Fractions	8 3/4	N 40 23' 36.500"	W 073 53' 26.000"	40.39347	-73.89056	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Add	Sounding in Fathoms & Fractions	8 3/4	N 40 22' 57.200"	W 073 53' 24.700"	40.38256	-73.8902	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Add	Sounding in Fathoms & Fractions	9 3/4	N 40 24' 31.400"	W 073 53' 19.000"	40.40872	-73.88861	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Delete	Obstruction in Fathoms	11 Obstn       Chart No. 1: K41	N 40 23' 38.500"	W 073 53' 37.700"	40.39403	-73.89381	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Delete	Sounding in Fathoms 	11	N 40 24' 11.300"	W 073 52' 41.900"	40.40314	-73.8783	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Add	Sounding in Fathoms & Fractions	10 1/2	N 40 22' 42.100"	W 073 52' 44.000"	40.37836	-73.87889	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Delete	Sounding in Fathoms	13	N 40 22' 40.100"	W 073 52' 51.800"	40.3778	-73.88106	LNM 04/14, 1st Dist	666	12300_1	1/30/2014
12300	Change	Avalon Shoal Lighted Buoy 2	R "2" Fl R 6s	N 39 05' 23.412"	W 074 33' 56.559"	39.08984	-74.56571	LNM 51/13, 5th Dist	666	12300_1	12/23/2013
12300	Relocate	Fishermans Energy Research Lighted Data Buoy B	Y "B" Fl Y 2.5s Priv	N 39 10' 08.160"	W 074 23' 57.780"	39.16893	-74.39938	LNM 23/13, 5th Dist	666	12300_1	6/10/2013
12300	Add	Submarine Cable  PT 1 OF 6	Chart No. 1: L30.1	N 39 30' 44.210"	W 074 06' 03.480"	39.51228	-74.10097	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Submarine Cable  PT 2 OF 6	Chart No. 1: L30.1	N 39 27' 07.080"	W 073 53' 10.660"	39.45197	-73.88629	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Submarine Cable  PT 3 OF 6	Chart No. 1: L30.1	N 39 18' 41.820"	W 073 46' 55.560"	39.31161	-73.7821	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Submarine Cable  PT 4 OF 6	Chart No. 1: L30.1	N 39 16' 26.960"	W 073 46' 15.650"	39.27415	-73.77101	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Submarine Cable  PT 5 OF 6	Chart No. 1: L30.1	N 38 57' 04.740"	W 073 35' 55.460"	38.95132	-73.59874	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Submarine Cable  PT 6 OF 6	Chart No. 1: L30.1	N 38 46' 05.240"	W 073 26' 59.650"	38.76812	-73.44991	LNM 24/13, 5th Dist	666	12300_1	6/7/2013
12300	Add	Fishermans Energy Research Lighted Data Buoy B	Y "B" Fl Y 2.5s Priv	N 39 10' 07.730"	W 074 23' 58.610"	39.16882	-74.39961	LNM 22/13, 5th Dist	666	12300_1	5/30/2013
12300	Add	Submarine Cable  PT 1 OF 6	Chart No. 1: L30.1	N 39 30' 44.210"	W 074 06' 03.480"	39.51228	-74.10097	LNM 21/13, 1st Dist	666	12300_1	5/15/2013
